time_us,aligned_input_v,captured_output_v
1.000240000000000009e+02,1.909420695966681236e-01,1.905519999999999992e-01
1.000319999999999965e+02,1.927091575019224956e-01,1.914059999999999928e-01
1.000399999999999920e+02,1.942189327279611188e-01,1.937260000000000093e-01
1.000480000000000018e+02,1.954712193419835542e-01,1.931150000000000089e-01
1.000560000000000116e+02,1.964663078513194661e-01,1.948239999999999972e-01
1.000639999999999930e+02,1.972049545794757330e-01,1.945800000000000030e-01
1.000720000000000027e+02,1.976883801921049399e-01,1.959230000000000138e-01
1.000799999999999983e+02,1.979182673755509325e-01,1.979980000000000073e-01
1.000879999999999939e+02,1.978967576722932553e-01,1.943360000000000087e-01
1.000960000000000036e+02,1.976264474790153935e-01,1.958010000000000028e-01
1.001039999999999992e+02,1.971103832146224033e-01,1.948239999999999972e-01
1.001120000000000090e+02,1.963520556669772210e-01,1.929929999999999979e-01
1.001199999999999903e+02,1.953553935288114551e-01,1.933590000000000031e-01
1.001280000000000001e+02,1.941247561344415506e-01,1.910399999999999876e-01
1.001360000000000099e+02,1.926649254107030418e-01,1.894530000000000103e-01
1.001439999999999912e+02,1.909810970566510613e-01,1.888430000000000109e-01
1.001520000000000010e+02,1.890788709683258184e-01,1.867679999999999896e-01
1.001599999999999966e+02,1.869642409257971372e-01,1.838380000000000014e-01
1.001679999999999922e+02,1.846435835615742871e-01,1.822509999999999963e-01
1.001760000000000019e+02,1.821236466303871038e-01,1.795650000000000024e-01
1.001839999999999975e+02,1.794115366017530466e-01,1.771240000000000037e-01
1.001920000000000073e+02,1.765147055979480739e-01,1.735839999999999883e-01
1.002000000000000028e+02,1.734409377014186626e-01,1.702879999999999949e-01
1.002079999999999984e+02,1.701983346563185895e-01,1.683350000000000124e-01
1.002160000000000082e+02,1.667953009905973338e-01,1.638179999999999914e-01
1.002239999999999895e+02,1.632405285854808819e-01,1.596680000000000044e-01
1.002319999999999993e+02,1.595429807208535167e-01,1.567379999999999884e-01
1.002400000000000091e+02,1.557118756253108582e-01,1.522219999999999962e-01
1.002480000000000047e+02,1.517566695611806127e-01,1.480710000000000082e-01
1.002560000000000002e+02,1.476870394753131976e-01,1.462400000000000089e-01
1.002639999999999958e+02,1.435128652472181521e-01,1.398929999999999896e-01
1.002720000000000056e+02,1.392442115670639302e-01,1.369630000000000014e-01
1.002800000000000011e+02,1.348913094765376575e-01,1.308590000000000031e-01
1.002879999999999967e+02,1.304645376063550966e-01,1.280519999999999992e-01
1.002960000000000065e+02,1.259744031446531631e-01,1.225590000000000013e-01
1.003039999999999878e+02,1.214315225707797985e-01,1.168209999999999943e-01
1.003119999999999976e+02,1.168466021900813195e-01,1.138919999999999932e-01
1.003200000000000074e+02,1.122304185048193237e-01,1.074220000000000036e-01
1.003280000000000030e+02,1.075937984571867789e-01,1.043700000000000044e-01
1.003359999999999985e+02,1.029475995805942123e-01,9.899900000000000366e-02
1.003439999999999941e+02,9.830269009536515834e-02,9.375000000000000000e-02
1.003520000000000039e+02,9.366992898508075260e-02,8.911099999999999577e-02
1.003599999999999994e+02,8.906014609006555893e-02,8.544899999999999718e-02
1.003679999999999950e+02,8.448412225436403855e-02,8.056599999999999873e-02
1.003760000000000048e+02,7.995256956243561308e-02,7.580599999999999838e-02
1.003840000000000003e+02,7.547611170142252968e-02,7.189900000000000457e-02
1.003919999999999959e+02,7.106526448527042406e-02,6.726100000000000134e-02
1.004000000000000057e+02,6.673041657584885544e-02,6.335399999999999365e-02
1.004080000000000013e+02,6.248181043640999022e-02,5.810499999999999693e-02
1.004159999999999968e+02,5.832952355225327207e-02,5.493200000000000166e-02
1.004239999999999924e+02,5.428344995276269264e-02,4.980500000000000205e-02
1.004320000000000022e+02,5.035328206852664884e-02,4.614300000000000346e-02
1.004399999999999977e+02,4.654849295667131542e-02,4.052700000000000052e-02
1.004479999999999933e+02,4.287831892696383068e-02,4.003899999999999820e-02
1.004560000000000031e+02,3.935174260032380661e-02,3.662100000000000077e-02
1.004640000000000128e+02,3.597747643050340505e-02,3.259299999999999697e-02
1.004719999999999942e+02,3.276394671938253483e-02,3.088400000000000173e-02
1.004800000000000040e+02,2.971927815469845371e-02,2.673299999999999982e-02
1.004879999999999995e+02,2.685127889861844280e-02,2.356000000000000108e-02
1.004959999999999951e+02,2.416742625435641667e-02,2.221700000000000064e-02
1.005040000000000049e+02,2.167485293700160964e-02,1.818799999999999931e-02
1.005120000000000005e+02,1.938033397355603746e-02,1.782200000000000104e-02
1.005200000000000102e+02,1.729027425610889235e-02,1.452600000000000072e-02
1.005279999999999916e+02,1.541069677101417242e-02,1.257300000000000084e-02
1.005360000000000014e+02,1.374723152530630925e-02,1.086400000000000039e-02
1.005440000000000111e+02,1.230510519081445472e-02,9.277000000000000524e-03
1.005519999999999925e+02,1.108913148467102414e-02,8.788999999999999937e-03
1.005600000000000023e+02,1.010370230397359369e-02,6.836000000000000063e-03
1.005679999999999978e+02,9.352779630597262209e-03,5.858999999999999625e-03
1.005759999999999934e+02,8.839888221063130214e-03,7.323999999999999781e-03
1.005840000000000032e+02,8.568109094777492246e-03,7.202000000000000068e-03
1.005919999999999987e+02,8.540073832499843823e-03,5.981000000000000205e-03
1.006000000000000085e+02,8.757959695449415993e-03,6.348000000000000344e-03
1.006079999999999899e+02,9.223485574036748708e-03,7.080000000000000356e-03
1.006159999999999997e+02,9.937908773503313989e-03,9.277000000000000524e-03
1.006240000000000094e+02,1.090202264245021188e-02,9.520999999999999949e-03
1.006319999999999908e+02,1.211615504848102993e-02,9.032999999999999363e-03
1.006400000000000006e+02,1.358016770383690605e-02,1.110799999999999982e-02
1.006479999999999961e+02,1.529345634221372305e-02,1.391599999999999955e-02
1.006560000000000059e+02,1.725495174641351881e-02,1.525899999999999999e-02
1.006640000000000015e+02,1.946312162503482240e-02,1.843300000000000147e-02
1.006719999999999970e+02,2.191597333469182118e-02,1.965300000000000033e-02
1.006800000000000068e+02,2.461105744287108571e-02,2.356000000000000108e-02
1.006880000000000024e+02,2.754547212487311325e-02,2.685500000000000040e-02
1.006959999999999980e+02,3.071586838684417509e-02,2.966299999999999840e-02
1.007040000000000077e+02,3.411845610534504358e-02,3.381300000000000278e-02
1.007119999999999891e+02,3.774901087248583309e-02,3.723100000000000021e-02
1.007199999999999989e+02,4.160288163404315259e-02,4.064899999999999763e-02
1.007280000000000086e+02,4.567499910673454566e-02,4.418899999999999911e-02
1.007360000000000042e+02,4.995988495921217798e-02,4.919400000000000162e-02
1.007439999999999998e+02,5.445166174003747417e-02,5.261199999999999904e-02
1.007519999999999953e+02,5.914406353450105819e-02,5.700700000000000212e-02
