time_us,captured_v
4.280799999999999983e+01,-3.076200000000000115e-02
4.281599999999999540e+01,-2.819800000000000084e-02
4.282400000000000517e+01,-3.955100000000000282e-02
4.283200000000000074e+01,-6.176800000000000346e-02
4.284000000000000341e+01,-4.797400000000000275e-02
4.284799999999999898e+01,-7.556200000000000416e-02
4.285599999999999454e+01,-2.148399999999999962e-02
4.286400000000000432e+01,9.899900000000000366e-02
4.287199999999999989e+01,1.107179999999999970e-01
4.288000000000000256e+01,1.094969999999999971e-01
4.288799999999999812e+01,1.147460000000000008e-01
4.289599999999999369e+01,9.863299999999999845e-02
4.290400000000000347e+01,7.031199999999999950e-02
4.291199999999999903e+01,3.112799999999999942e-02
4.292000000000000171e+01,6.079099999999999782e-02
4.292799999999999727e+01,2.661099999999999924e-02
4.293599999999999994e+01,-7.104499999999999704e-02
4.294400000000000261e+01,-1.160889999999999977e-01
4.295199999999999818e+01,-1.149899999999999950e-01
4.296000000000000085e+01,-7.226599999999999691e-02
4.296799999999999642e+01,-8.788999999999999937e-03
4.297600000000000620e+01,2.123999999999999846e-02
4.298400000000000176e+01,-5.615000000000000199e-03
4.299199999999999733e+01,-1.684599999999999986e-02
4.300000000000000000e+01,-1.806599999999999873e-02
4.300799999999999557e+01,1.916500000000000148e-02
4.301600000000000534e+01,3.149400000000000116e-02
4.302400000000000091e+01,7.689999999999999787e-03
4.303199999999999648e+01,-5.370999999999999906e-03
4.303999999999999915e+01,-3.686500000000000193e-02
4.304800000000000182e+01,-3.552199999999999802e-02
4.305600000000000449e+01,3.259299999999999697e-02
4.306400000000000006e+01,4.931599999999999873e-02
4.307199999999999562e+01,4.797400000000000275e-02
4.307999999999999829e+01,9.558099999999999929e-02
4.308800000000000097e+01,1.461179999999999979e-01
4.309600000000000364e+01,1.723629999999999884e-01
4.310399999999999920e+01,1.660159999999999969e-01
4.311200000000000188e+01,1.646730000000000138e-01
4.311999999999999744e+01,1.745609999999999939e-01
4.312800000000000011e+01,1.521000000000000130e-01
4.313600000000000279e+01,1.433109999999999939e-01
4.314399999999999835e+01,1.567379999999999884e-01
4.315200000000000102e+01,7.775899999999999479e-02
4.315999999999999659e+01,6.323199999999999654e-02
4.316799999999999926e+01,8.789099999999999691e-02
4.317600000000000193e+01,6.396499999999999408e-02
4.318399999999999750e+01,9.191900000000000071e-02
